date_time,wait,Hospital
2/28/2019 19:51:01,10,Staten Island University Hospital - South
2/28/2019 19:51:01,15,Lenox Health Greenwich Village
2/28/2019 19:51:01,26,Long Island Jewish Valley Stream
2/28/2019 19:51:01,30,Southside Hospital
2/28/2019 19:51:01,39,Lenox Hill Hospital
2/28/2019 19:51:01,50,Long Island Jewish Medical Center
2/28/2019 19:51:01,50,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
2/28/2019 19:51:01,56,Staten Island University Hospital - North
2/28/2019 19:51:01,58,North Shore University Hospital
2/28/2019 20:51:01,2,Syosset Hospital
2/28/2019 20:51:01,4,Staten Island University Hospital - South
2/28/2019 20:51:01,8,Lenox Health Greenwich Village
2/28/2019 20:51:01,10,Glen Cove Hospital
2/28/2019 20:51:01,12,Huntington Hospital
2/28/2019 20:51:01,12,Plainview Hospital
2/28/2019 20:51:01,28,Lenox Hill Hospital
2/28/2019 20:51:01,34,Southside Hospital
2/28/2019 20:51:01,39,Long Island Jewish Valley Stream
2/28/2019 20:51:01,46,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
2/28/2019 20:51:01,54,Staten Island University Hospital - North
2/28/2019 20:51:01,60,Long Island Jewish Forest Hills
2/28/2019 20:51:01,60,Long Island Jewish Medical Center
2/28/2019 21:51:01,4,Staten Island University Hospital - South
2/28/2019 21:51:01,4,Syosset Hospital
2/28/2019 21:51:01,10,Huntington Hospital
2/28/2019 21:51:01,12,Glen Cove Hospital
2/28/2019 21:51:01,16,Lenox Health Greenwich Village
2/28/2019 21:51:01,17,Plainview Hospital
2/28/2019 21:51:01,21,Southside Hospital
2/28/2019 21:51:01,36,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
2/28/2019 21:51:01,44,Long Island Jewish Valley Stream
2/28/2019 21:51:01,49,Lenox Hill Hospital
2/28/2019 21:51:01,52,Long Island Jewish Forest Hills
2/28/2019 21:51:01,53,Staten Island University Hospital - North
2/28/2019 21:51:01,60,Long Island Jewish Medical Center
2/28/2019 22:51:01,5,Lenox Health Greenwich Village
2/28/2019 22:51:01,7,Plainview Hospital
2/28/2019 22:51:01,7,Staten Island University Hospital - South
2/28/2019 22:51:01,8,Huntington Hospital
2/28/2019 22:51:01,13,Glen Cove Hospital
2/28/2019 22:51:01,19,Lenox Hill Hospital
2/28/2019 22:51:01,19,Syosset Hospital
2/28/2019 22:51:01,22,Southside Hospital
2/28/2019 22:51:01,31,Long Island Jewish Valley Stream
2/28/2019 22:51:01,41,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
2/28/2019 22:51:01,50,Long Island Jewish Forest Hills
2/28/2019 22:51:01,53,Staten Island University Hospital - North
2/28/2019 22:51:01,60,Long Island Jewish Medical Center
2/28/2019 23:51:01,5,Staten Island University Hospital - South
2/28/2019 23:51:01,12,Plainview Hospital
2/28/2019 23:51:01,13,Huntington Hospital
2/28/2019 23:51:01,16,Lenox Health Greenwich Village
2/28/2019 23:51:01,27,Glen Cove Hospital
2/28/2019 23:51:01,28,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
2/28/2019 23:51:01,29,Syosset Hospital
2/28/2019 23:51:01,33,Southside Hospital
2/28/2019 23:51:01,36,Long Island Jewish Forest Hills
2/28/2019 23:51:01,40,Staten Island University Hospital - North
2/28/2019 23:51:01,52,Long Island Jewish Valley Stream
2/28/2019 23:51:01,60,Lenox Hill Hospital
2/28/2019 23:51:01,60,Long Island Jewish Medical Center
3/1/2019 0:51:01,5,Staten Island University Hospital - South
3/1/2019 0:51:01,6,Lenox Health Greenwich Village
3/1/2019 0:51:01,9,Glen Cove Hospital
3/1/2019 0:51:01,14,Huntington Hospital
3/1/2019 0:51:01,15,Syosset Hospital
3/1/2019 0:51:01,16,Plainview Hospital
3/1/2019 0:51:01,26,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 0:51:01,52,Lenox Hill Hospital
3/1/2019 0:51:01,54,Long Island Jewish Medical Center
3/1/2019 0:51:01,57,Staten Island University Hospital - North
3/1/2019 0:51:01,60,Southside Hospital
3/1/2019 0:51:01,60,Long Island Jewish Forest Hills
3/1/2019 0:51:01,60,North Shore University Hospital
3/1/2019 1:51:01,2,Staten Island University Hospital - South
3/1/2019 1:51:01,3,Syosset Hospital
3/1/2019 1:51:01,5,Glen Cove Hospital
3/1/2019 1:51:01,11,Plainview Hospital
3/1/2019 1:51:01,12,Huntington Hospital
3/1/2019 1:51:01,14,Lenox Health Greenwich Village
3/1/2019 1:51:01,20,Long Island Jewish Valley Stream
3/1/2019 1:51:01,23,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 1:51:01,32,Staten Island University Hospital - North
3/1/2019 1:51:01,33,Lenox Hill Hospital
3/1/2019 1:51:01,46,Southside Hospital
3/1/2019 1:51:01,60,Long Island Jewish Forest Hills
3/1/2019 1:51:01,60,North Shore University Hospital
3/1/2019 2:51:01,5,Syosset Hospital
3/1/2019 2:51:01,8,Staten Island University Hospital - South
3/1/2019 2:51:01,11,Plainview Hospital
3/1/2019 2:51:01,15,Lenox Health Greenwich Village
3/1/2019 2:51:01,16,Staten Island University Hospital - North
3/1/2019 2:51:01,18,Huntington Hospital
3/1/2019 2:51:01,19,Glen Cove Hospital
3/1/2019 2:51:01,35,Southside Hospital
3/1/2019 2:51:01,46,Lenox Hill Hospital
3/1/2019 2:51:01,52,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 2:51:01,60,North Shore University Hospital
3/1/2019 2:51:01,60,Long Island Jewish Forest Hills
3/1/2019 2:51:01,60,Long Island Jewish Medical Center
3/1/2019 3:51:01,5,Plainview Hospital
3/1/2019 3:51:01,5,Syosset Hospital
3/1/2019 3:51:01,8,Lenox Health Greenwich Village
3/1/2019 3:51:01,11,Glen Cove Hospital
3/1/2019 3:51:01,13,Huntington Hospital
3/1/2019 3:51:01,31,Staten Island University Hospital - North
3/1/2019 3:51:01,37,Southside Hospital
3/1/2019 3:51:01,37,Staten Island University Hospital - South
3/1/2019 3:51:01,51,Lenox Hill Hospital
3/1/2019 3:51:01,55,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 3:51:01,56,Long Island Jewish Medical Center
3/1/2019 3:51:01,60,North Shore University Hospital
3/1/2019 3:51:01,60,Long Island Jewish Forest Hills
3/1/2019 4:51:01,9,Syosset Hospital
3/1/2019 4:51:01,11,Huntington Hospital
3/1/2019 4:51:01,11,Lenox Health Greenwich Village
3/1/2019 4:51:01,19,Glen Cove Hospital
3/1/2019 4:51:01,22,Plainview Hospital
3/1/2019 4:51:01,27,Staten Island University Hospital - North
3/1/2019 4:51:01,34,Southside Hospital
3/1/2019 4:51:01,42,Lenox Hill Hospital
3/1/2019 4:51:01,43,Long Island Jewish Forest Hills
3/1/2019 4:51:01,47,Staten Island University Hospital - South
3/1/2019 4:51:01,60,North Shore University Hospital
3/1/2019 4:51:01,60,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 4:51:01,60,Long Island Jewish Valley Stream
3/1/2019 5:51:01,1,Lenox Health Greenwich Village
3/1/2019 5:51:01,7,Glen Cove Hospital
3/1/2019 5:51:01,9,Plainview Hospital
3/1/2019 5:51:01,9,Syosset Hospital
3/1/2019 5:51:01,13,Huntington Hospital
3/1/2019 5:51:01,17,Staten Island University Hospital - South
3/1/2019 5:51:01,24,Long Island Jewish Forest Hills
3/1/2019 5:51:01,25,Lenox Hill Hospital
3/1/2019 5:51:01,47,Staten Island University Hospital - North
3/1/2019 5:51:01,50,Southside Hospital
3/1/2019 5:51:01,60,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 5:51:01,60,Long Island Jewish Valley Stream
3/1/2019 5:51:01,60,North Shore University Hospital
3/1/2019 6:51:01,5,Huntington Hospital
3/1/2019 6:51:01,9,Syosset Hospital
3/1/2019 6:51:01,10,Staten Island University Hospital - South
3/1/2019 6:51:01,11,Lenox Hill Hospital
3/1/2019 6:51:01,12,Lenox Health Greenwich Village
3/1/2019 6:51:01,12,Plainview Hospital
3/1/2019 6:51:01,15,Southside Hospital
3/1/2019 6:51:01,18,Long Island Jewish Forest Hills
3/1/2019 6:51:01,20,Staten Island University Hospital - North
3/1/2019 6:51:01,53,Long Island Jewish Valley Stream
3/1/2019 6:51:01,57,Glen Cove Hospital
3/1/2019 6:51:01,60,North Shore University Hospital
3/1/2019 6:51:01,60,Long Island Jewish Medical Center
3/1/2019 7:51:01,4,Huntington Hospital
3/1/2019 7:51:01,4,Syosset Hospital
3/1/2019 7:51:01,5,Lenox Hill Hospital
3/1/2019 7:51:01,7,Lenox Health Greenwich Village
3/1/2019 7:51:01,8,Staten Island University Hospital - South
3/1/2019 7:51:01,14,Plainview Hospital
3/1/2019 7:51:01,15,Staten Island University Hospital - North
3/1/2019 7:51:01,16,Long Island Jewish Forest Hills
3/1/2019 7:51:01,17,Southside Hospital
3/1/2019 7:51:01,49,North Shore University Hospital
3/1/2019 7:51:01,60,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 7:51:01,60,Long Island Jewish Valley Stream
3/1/2019 7:51:01,60,Long Island Jewish Medical Center
3/1/2019 8:51:01,2,Lenox Hill Hospital
3/1/2019 8:51:01,2,Syosset Hospital
3/1/2019 8:51:01,8,Staten Island University Hospital - South
3/1/2019 8:51:01,11,Glen Cove Hospital
3/1/2019 8:51:01,13,Huntington Hospital
3/1/2019 8:51:01,14,Plainview Hospital
3/1/2019 8:51:01,15,Long Island Jewish Valley Stream
3/1/2019 8:51:01,17,North Shore University Hospital
3/1/2019 8:51:01,18,Lenox Health Greenwich Village
3/1/2019 8:51:01,24,Staten Island University Hospital - North
3/1/2019 8:51:01,26,Long Island Jewish Forest Hills
3/1/2019 8:51:01,32,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 8:51:01,41,Southside Hospital
3/1/2019 9:51:02,2,Syosset Hospital
3/1/2019 9:51:02,6,Lenox Hill Hospital
3/1/2019 9:51:02,8,Staten Island University Hospital - South
3/1/2019 9:51:02,12,Southside Hospital
3/1/2019 9:51:02,13,Huntington Hospital
3/1/2019 9:51:02,14,Plainview Hospital
3/1/2019 9:51:02,15,Glen Cove Hospital
3/1/2019 9:51:02,16,Long Island Jewish Forest Hills
3/1/2019 9:51:02,17,North Shore University Hospital
3/1/2019 9:51:02,18,Long Island Jewish Valley Stream
3/1/2019 9:51:02,18,Staten Island University Hospital - North
3/1/2019 9:51:02,24,Lenox Health Greenwich Village
3/1/2019 9:51:02,44,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 10:51:01,2,Syosset Hospital
3/1/2019 10:51:01,6,Lenox Hill Hospital
3/1/2019 10:51:01,8,Plainview Hospital
3/1/2019 10:51:01,9,North Shore University Hospital
3/1/2019 10:51:01,9,Staten Island University Hospital - South
3/1/2019 10:51:01,11,Huntington Hospital
3/1/2019 10:51:01,12,Southside Hospital
3/1/2019 10:51:01,15,Glen Cove Hospital
3/1/2019 10:51:01,17,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 10:51:01,18,Long Island Jewish Valley Stream
3/1/2019 10:51:01,22,Long Island Jewish Medical Center
3/1/2019 10:51:01,24,Lenox Health Greenwich Village
3/1/2019 10:51:01,29,Staten Island University Hospital - North
3/1/2019 11:51:01,4,Huntington Hospital
3/1/2019 11:51:01,4,Lenox Health Greenwich Village
3/1/2019 11:51:01,5,Syosset Hospital
3/1/2019 11:51:01,9,Staten Island University Hospital - South
3/1/2019 11:51:01,10,Lenox Hill Hospital
3/1/2019 11:51:01,10,North Shore University Hospital
3/1/2019 11:51:01,10,Southside Hospital
3/1/2019 11:51:01,12,Long Island Jewish Forest Hills
3/1/2019 11:51:01,15,Glen Cove Hospital
3/1/2019 11:51:01,17,Plainview Hospital
3/1/2019 11:51:01,18,Long Island Jewish Valley Stream
3/1/2019 11:51:01,19,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 11:51:01,26,Staten Island University Hospital - North
3/1/2019 12:51:01,9,Long Island Jewish Valley Stream
3/1/2019 12:51:01,9,North Shore University Hospital
3/1/2019 12:51:01,10,Staten Island University Hospital - South
3/1/2019 12:51:01,12,Huntington Hospital
3/1/2019 12:51:01,16,Plainview Hospital
3/1/2019 12:51:01,18,Lenox Health Greenwich Village
3/1/2019 12:51:01,18,Staten Island University Hospital - North
3/1/2019 12:51:01,19,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 12:51:01,23,Lenox Hill Hospital
3/1/2019 12:51:01,24,Glen Cove Hospital
3/1/2019 12:51:01,32,Southside Hospital
3/1/2019 12:51:01,36,Long Island Jewish Forest Hills
3/1/2019 12:51:01,40,Long Island Jewish Medical Center
3/1/2019 13:51:02,0,Glen Cove Hospital
3/1/2019 13:51:02,2,Syosset Hospital
3/1/2019 13:51:02,4,Huntington Hospital
3/1/2019 13:51:02,4,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 13:51:02,6,Staten Island University Hospital - South
3/1/2019 13:51:02,8,Plainview Hospital
3/1/2019 13:51:02,12,Long Island Jewish Valley Stream
3/1/2019 13:51:02,12,North Shore University Hospital
3/1/2019 13:51:02,13,Long Island Jewish Forest Hills
3/1/2019 13:51:02,17,Staten Island University Hospital - North
3/1/2019 13:51:02,18,Long Island Jewish Medical Center
3/1/2019 13:51:02,26,Lenox Health Greenwich Village
3/1/2019 13:51:02,30,Southside Hospital
3/1/2019 14:51:01,2,Glen Cove Hospital
3/1/2019 14:51:01,7,Lenox Health Greenwich Village
3/1/2019 14:51:01,7,Plainview Hospital
3/1/2019 14:51:01,7,Staten Island University Hospital - South
3/1/2019 14:51:01,8,Huntington Hospital
3/1/2019 14:51:01,10,Syosset Hospital
3/1/2019 14:51:01,11,Long Island Jewish Forest Hills
3/1/2019 14:51:01,13,Lenox Hill Hospital
3/1/2019 14:51:01,14,Long Island Jewish Medical Center
3/1/2019 14:51:01,14,Long Island Jewish Valley Stream
3/1/2019 14:51:01,15,North Shore University Hospital
3/1/2019 14:51:01,17,Southside Hospital
3/1/2019 14:51:01,17,Staten Island University Hospital - North
3/1/2019 15:51:01,5,Plainview Hospital
3/1/2019 15:51:01,5,Syosset Hospital
3/1/2019 15:51:01,6,Glen Cove Hospital
3/1/2019 15:51:01,11,Huntington Hospital
3/1/2019 15:51:01,11,Lenox Hill Hospital
3/1/2019 15:51:01,11,Staten Island University Hospital - South
3/1/2019 15:51:01,15,Lenox Health Greenwich Village
3/1/2019 15:51:01,17,Southside Hospital
3/1/2019 15:51:01,19,Long Island Jewish Forest Hills
3/1/2019 15:51:01,21,Long Island Jewish Medical Center
3/1/2019 15:51:01,22,North Shore University Hospital
3/1/2019 15:51:01,26,Staten Island University Hospital - North
3/1/2019 15:51:01,37,Long Island Jewish Valley Stream
3/1/2019 16:51:01,2,Glen Cove Hospital
3/1/2019 16:51:01,8,Lenox Health Greenwich Village
3/1/2019 16:51:01,8,Staten Island University Hospital - South
3/1/2019 16:51:01,10,Plainview Hospital
3/1/2019 16:51:01,11,Huntington Hospital
3/1/2019 16:51:01,11,Long Island Jewish Forest Hills
3/1/2019 16:51:01,17,Lenox Hill Hospital
3/1/2019 16:51:01,18,Southside Hospital
3/1/2019 16:51:01,24,Long Island Jewish Valley Stream
3/1/2019 16:51:01,24,North Shore University Hospital
3/1/2019 16:51:01,26,Staten Island University Hospital - North
3/1/2019 16:51:01,37,Long Island Jewish Medical Center
3/1/2019 16:51:01,45,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 17:51:01,1,Plainview Hospital
3/1/2019 17:51:01,2,Glen Cove Hospital
3/1/2019 17:51:01,2,Staten Island University Hospital - South
3/1/2019 17:51:01,4,Syosset Hospital
3/1/2019 17:51:01,10,Lenox Health Greenwich Village
3/1/2019 17:51:01,14,Long Island Jewish Forest Hills
3/1/2019 17:51:01,14,Long Island Jewish Valley Stream
3/1/2019 17:51:01,16,Huntington Hospital
3/1/2019 17:51:01,27,Southside Hospital
3/1/2019 17:51:01,32,Lenox Hill Hospital
3/1/2019 17:51:01,35,North Shore University Hospital
3/1/2019 17:51:01,36,Staten Island University Hospital - North
3/1/2019 17:51:01,44,Long Island Jewish Medical Center
3/1/2019 18:51:01,2,Glen Cove Hospital
3/1/2019 18:51:01,2,Plainview Hospital
3/1/2019 18:51:01,3,Staten Island University Hospital - South
3/1/2019 18:51:01,6,Syosset Hospital
3/1/2019 18:51:01,17,Lenox Health Greenwich Village
3/1/2019 18:51:01,18,Long Island Jewish Forest Hills
3/1/2019 18:51:01,27,Southside Hospital
3/1/2019 18:51:01,28,Staten Island University Hospital - North
3/1/2019 18:51:01,29,Long Island Jewish Valley Stream
3/1/2019 18:51:01,32,Huntington Hospital
3/1/2019 18:51:01,33,Long Island Jewish Medical Center
3/1/2019 18:51:01,37,North Shore University Hospital
3/1/2019 18:51:01,45,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/1/2019 19:51:01,2,Staten Island University Hospital - South
3/1/2019 19:51:01,3,Glen Cove Hospital
3/1/2019 19:51:01,4,Syosset Hospital
3/1/2019 19:51:01,10,Plainview Hospital
3/1/2019 19:51:01,15,Long Island Jewish Forest Hills
3/1/2019 19:51:01,19,Lenox Health Greenwich Village
3/1/2019 19:51:01,24,North Shore University Hospital
3/1/2019 19:51:01,26,Lenox Hill Hospital
3/1/2019 19:51:01,26,Staten Island University Hospital - North
3/1/2019 19:51:01,32,Southside Hospital
3/1/2019 19:51:01,33,Huntington Hospital
3/1/2019 19:51:01,36,Long Island Jewish Valley Stream
3/1/2019 19:51:01,44,Long Island Jewish Medical Center
3/1/2019 20:51:01,1,Glen Cove Hospital
3/1/2019 20:51:01,3,Syosset Hospital
3/1/2019 20:51:01,14,Lenox Hill Hospital
3/1/2019 20:51:01,14,Plainview Hospital
3/1/2019 20:51:01,14,Staten Island University Hospital - South
3/1/2019 20:51:01,17,Staten Island University Hospital - North
3/1/2019 20:51:01,20,Lenox Health Greenwich Village
3/1/2019 20:51:01,23,Long Island Jewish Forest Hills
3/1/2019 20:51:01,24,Huntington Hospital
3/1/2019 20:51:01,33,Southside Hospital
3/1/2019 20:51:01,36,North Shore University Hospital
3/1/2019 20:51:01,37,Long Island Jewish Medical Center
3/1/2019 20:51:01,39,Long Island Jewish Valley Stream
3/1/2019 21:51:01,2,Glen Cove Hospital
3/1/2019 21:51:01,5,Syosset Hospital
3/1/2019 21:51:01,6,Plainview Hospital
3/1/2019 21:51:01,9,Lenox Health Greenwich Village
3/1/2019 21:51:01,10,Staten Island University Hospital - South
3/1/2019 21:51:01,12,Lenox Hill Hospital
3/1/2019 21:51:01,15,Huntington Hospital
3/1/2019 21:51:01,18,Long Island Jewish Forest Hills
3/1/2019 21:51:01,21,Staten Island University Hospital - North
3/1/2019 21:51:01,26,Long Island Jewish Valley Stream
3/1/2019 21:51:01,37,Long Island Jewish Medical Center
3/1/2019 21:51:01,37,North Shore University Hospital
3/1/2019 21:51:01,49,Southside Hospital
3/1/2019 22:51:01,4,Glen Cove Hospital
3/1/2019 22:51:01,5,Huntington Hospital
3/1/2019 22:51:01,5,Lenox Health Greenwich Village
3/1/2019 22:51:01,5,Plainview Hospital
3/1/2019 22:51:01,7,Staten Island University Hospital - South
3/1/2019 22:51:01,7,Syosset Hospital
3/1/2019 22:51:01,20,Lenox Hill Hospital
3/1/2019 22:51:01,25,Southside Hospital
3/1/2019 22:51:01,27,North Shore University Hospital
3/1/2019 22:51:01,33,Staten Island University Hospital - North
3/1/2019 22:51:01,36,Long Island Jewish Forest Hills
3/1/2019 22:51:01,36,Long Island Jewish Medical Center
3/1/2019 22:51:01,36,Long Island Jewish Valley Stream
3/1/2019 23:51:01,2,Glen Cove Hospital
3/1/2019 23:51:01,7,Huntington Hospital
3/1/2019 23:51:01,7,Plainview Hospital
3/1/2019 23:51:01,9,Syosset Hospital
3/1/2019 23:51:01,10,Lenox Health Greenwich Village
3/1/2019 23:51:01,13,Staten Island University Hospital - South
3/1/2019 23:51:01,21,Lenox Hill Hospital
3/1/2019 23:51:01,24,Staten Island University Hospital - North
3/1/2019 23:51:01,26,North Shore University Hospital
3/1/2019 23:51:01,27,Long Island Jewish Forest Hills
3/1/2019 23:51:01,28,Long Island Jewish Valley Stream
3/1/2019 23:51:01,49,Long Island Jewish Medical Center
3/1/2019 23:51:01,50,Southside Hospital
3/2/2019 0:51:02,4,Syosset Hospital
3/2/2019 0:51:02,5,Staten Island University Hospital - South
3/2/2019 0:51:02,6,Plainview Hospital
3/2/2019 0:51:02,7,Huntington Hospital
3/2/2019 0:51:02,14,Glen Cove Hospital
3/2/2019 0:51:02,17,Long Island Jewish Forest Hills
3/2/2019 0:51:02,23,Lenox Health Greenwich Village
3/2/2019 0:51:02,26,Staten Island University Hospital - North
3/2/2019 0:51:02,39,Lenox Hill Hospital
3/2/2019 0:51:02,54,Long Island Jewish Valley Stream
3/2/2019 0:51:02,60,Long Island Jewish Medical Center
3/2/2019 0:51:02,60,Southside Hospital
3/2/2019 0:51:02,60,North Shore University Hospital
3/2/2019 1:51:01,3,Staten Island University Hospital - South
3/2/2019 1:51:01,6,Syosset Hospital
3/2/2019 1:51:01,9,Plainview Hospital
3/2/2019 1:51:01,11,Glen Cove Hospital
3/2/2019 1:51:01,11,Huntington Hospital
3/2/2019 1:51:01,25,Staten Island University Hospital - North
3/2/2019 1:51:01,27,Lenox Health Greenwich Village
3/2/2019 1:51:01,28,Long Island Jewish Forest Hills
3/2/2019 1:51:01,34,Long Island Jewish Valley Stream
3/2/2019 1:51:01,35,Lenox Hill Hospital
3/2/2019 1:51:01,36,North Shore University Hospital
3/2/2019 1:51:01,60,Southside Hospital
3/2/2019 1:51:01,60,Long Island Jewish Medical Center
3/2/2019 2:51:01,9,Glen Cove Hospital
3/2/2019 2:51:01,9,Plainview Hospital
3/2/2019 2:51:01,12,Lenox Health Greenwich Village
3/2/2019 2:51:01,15,Long Island Jewish Forest Hills
3/2/2019 2:51:01,17,Huntington Hospital
3/2/2019 2:51:01,19,Staten Island University Hospital - South
3/2/2019 2:51:01,19,Syosset Hospital
3/2/2019 2:51:01,28,Staten Island University Hospital - North
3/2/2019 2:51:01,38,Long Island Jewish Valley Stream
3/2/2019 2:51:01,40,Lenox Hill Hospital
3/2/2019 2:51:01,47,North Shore University Hospital
3/2/2019 2:51:01,47,Southside Hospital
3/2/2019 2:51:01,54,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/2/2019 3:51:01,6,Staten Island University Hospital - South
3/2/2019 3:51:01,9,Glen Cove Hospital
3/2/2019 3:51:01,10,Lenox Health Greenwich Village
3/2/2019 3:51:01,11,Plainview Hospital
3/2/2019 3:51:01,12,Syosset Hospital
3/2/2019 3:51:01,23,Long Island Jewish Valley Stream
3/2/2019 3:51:01,30,Huntington Hospital
3/2/2019 3:51:01,31,Staten Island University Hospital - North
3/2/2019 3:51:01,45,Lenox Hill Hospital
3/2/2019 3:51:01,55,Long Island Jewish Forest Hills
3/2/2019 3:51:01,60,North Shore University Hospital
3/2/2019 3:51:01,60,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/2/2019 3:51:01,60,Long Island Jewish Medical Center
3/2/2019 4:51:01,3,Staten Island University Hospital - South
3/2/2019 4:51:01,9,Lenox Health Greenwich Village
3/2/2019 4:51:01,15,Huntington Hospital
3/2/2019 4:51:01,17,Syosset Hospital
3/2/2019 4:51:01,18,Plainview Hospital
3/2/2019 4:51:01,20,Glen Cove Hospital
3/2/2019 4:51:01,25,Staten Island University Hospital - North
3/2/2019 4:51:01,36,Long Island Jewish Forest Hills
3/2/2019 4:51:01,60,Long Island Jewish Valley Stream
3/2/2019 4:51:01,60,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/2/2019 4:51:01,60,Lenox Hill Hospital
3/2/2019 4:51:01,60,North Shore University Hospital
3/2/2019 4:51:01,60,Southside Hospital
3/2/2019 5:51:01,5,Huntington Hospital
3/2/2019 5:51:01,5,Plainview Hospital
3/2/2019 5:51:01,5,Syosset Hospital
3/2/2019 5:51:01,8,Staten Island University Hospital - South
3/2/2019 5:51:01,15,Glen Cove Hospital
3/2/2019 5:51:01,18,Lenox Health Greenwich Village
3/2/2019 5:51:01,26,Staten Island University Hospital - North
3/2/2019 5:51:01,39,Southside Hospital
3/2/2019 5:51:01,43,Lenox Hill Hospital
3/2/2019 5:51:01,54,Long Island Jewish Valley Stream
3/2/2019 5:51:01,59,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/2/2019 5:51:01,60,North Shore University Hospital
3/2/2019 5:51:01,60,Long Island Jewish Forest Hills
3/2/2019 6:51:01,4,Staten Island University Hospital - South
3/2/2019 6:51:01,8,Syosset Hospital
3/2/2019 6:51:01,10,Huntington Hospital
3/2/2019 6:51:01,13,Lenox Health Greenwich Village
3/2/2019 6:51:01,13,Plainview Hospital
3/2/2019 6:51:01,16,Long Island Jewish Valley Stream
3/2/2019 6:51:01,50,Glen Cove Hospital
3/2/2019 6:51:01,50,Staten Island University Hospital - North
3/2/2019 6:51:01,60,North Shore University Hospital
3/2/2019 6:51:01,60,Steven and Alexandra Cohen Children&#039;s Medical Center of New York
3/2/2019 6:51:01,60,Southside Hospital
3/2/2019 6:51:01,60,Lenox Hill Hospital
